거래번호,항목1,항목2,항목3,항목4,항목5,항목6,항목7,항목8,항목9
12929,소다,병맥주,소주,와인,,,,,
12931,전지우유,음료수,,,,,,,
12933,요거트,치즈,설탕,병맥주,,,,,
12939,소고기,햄,열대과일,야채,양파,전지우유,버터,요거트,
12941,버터우유,패스트리,,,,,,,
12942,냉동 감자,롤빵,기름,생수,캔맥주,냅킨,,,
12943,마가린,커피,캔맥주,,,,,,
12945,음료수,간식,,,,,,,
12946,소시지,우유,,,,,,,
12947,버터,요거트,롤빵,세정제,쇼핑백,,,,
12951,전지우유,생수,소다,야채 주스,간식,신문,,,
12952,버터,아이스크림,마가린,소다,,,,,
12953,소시지,전지우유,계란,롤빵,야채 주스,전구,,,
12955,야채,전지우유,냉동 야채,백포도주,,,,,
12960,치킨,소다,소주,백포도주,쇼핑백,,,,
12961,치즈,치즈,시리얼,절인 야채,초콜릿,,,,
12962,과일,전지우유,디저트,버터우유,롤빵,시리얼,,,
12963,전지우유,치즈,식빵,소다,신문,,,,
12964,요거트,냉동 야채,,,,,,,
12965,야채,전지우유,롤빵,,,,,,
12967,우유,생수,소다,,,,,,
12968,전지우유,디저트,버터우유,,,,,,
12970,냉동 야채,병맥주,,,,,,,
12971,야채,전지우유,버터,디저트,냉동 식품,생선,쌀,생수,
12972,소시지,전지우유,버터,고양이 사료,간식,와플,초콜릿,,
12973,전지우유,롤빵,간식,초콜릿,신문,,,,
12975,소시지,소고기,전지우유,롤빵,병맥주,,,,
12976,돼지고기,소고기,포장 채소,패스트리,,,,,
12978,간식,여성용 위생용품,,,,,,,
12980,소다,피부관리용품,,,,,,,
12983,열대과일,전지우유,요거트,롤빵,베이킹 파우더,초콜릿,신문,,
12985,치킨,감귤,요거트,계란,롤빵,향신료,생수,와플,
12986,감귤,열대과일,아이스크림,,,,,,
12988,감귤,열대과일,전지우유,버터,사워 크림,계란,설탕,간식,
12989,감귤,열대과일,식빵,냅킨,,,,,
12990,소다,병맥주,,,,,,,
12991,생수,소다,와플,,,,,,
12992,치킨,야채,양파,냉동 야채,케이크,,,,
12996,딸기,야채,허브,전지우유,크림 치즈,시리얼,,,
12998,돼지고기,소고기,냉동 야채,냉동 식품,마가린,냅킨,,,
12999,열대과일,야채,전지우유,롤빵,생수,냅킨,그릇,,
13001,치즈,껌,,,,,,,
13002,돼지고기,야채,양파,생수,소다,,,,
13003,감귤,열대과일,야채,전지우유,요거트,치즈,치즈,치즈,
13004,병맥주,백포도주,,,,,,,
13005,버터우유,롤빵,기름,생수,야채 주스,그릇,,,
13008,감귤,열대과일,디저트,농축 우유,마가린,,,,
13010,감귤,야채,전지우유,사워 크림,치즈,냉동 야채,식빵,밀가루,
13011,전지우유,크림 치즈,간식,사탕,,,,,
13012,소다,야채 주스,케이크,사탕,양초,,,,
13016,열대과일,전지우유,버터우유,요거트,사워 크림,크림 치즈,롤빵,,
13017,야채,양파,냉동 과일,캔맥주,,,,,
13018,전지우유,요거트,롤빵,신문,,,,,
13019,야채,요거트,롤빵,밀가루,,,,,
13022,야채,전지우유,,,,,,,
13023,열대과일,과일,냉동 야채,아이스크림,식빵,패스트리,밀가루,절인 야채,
13024,버터,디저트,크림 치즈,캔맥주,사탕,쇼핑백,,,
13026,파스타,소다,과자,케이크,,,,,
13027,디저트,사탕,연마제,그릇,양초,,,,
13028,요거트,우유,식빵,생수,신문,쇼핑백,,,
13031,전지우유,냉동 야채,커피,,,,,,
13032,돼지고기,야채,전지우유,버터,사워 크림,치즈,계란,롤빵,
13036,소시지,햄,포도,생수,음료수,브랜디,쇼핑백,,
13037,열대과일,냉동 식품,롤빵,병맥주,신문,,,,
13039,과일,포도,전지우유,요거트,치즈,식빵,쌀,절인 야채,
13042,소시지,소고기,감귤,열대과일,견과류,야채,전지우유,마요네즈,
13044,감귤,전지우유,치즈,쌀,마가린,설탕,수프,생수,
13045,치킨,돼지고기,냉동 야채,소다,,,,,
13046,감귤,열대과일,전지우유,버터,요거트,사워 크림,치즈,치즈,
13047,밀가루,설탕,고양이 사료,음료수,와플,,,,
13049,열대과일,과일,전지우유,생선,패스트리,생선 통조림,,,
13051,치킨,우유,크림 치즈,마가린,커피,간식,와플,그릇,
13052,치킨,전지우유,계란,기름,마가린,설탕,커피,병맥주,
13053,소시지,소고기,전지우유,패스트리,,,,,
13054,소고기,마가린,소다,,,,,,
13055,전지우유,냉동 식품,초콜릿,,,,,,
13059,소시지,야채,양파,허브,우유,치즈,크림 치즈,냉동 야채,
13062,치킨,열대과일,과일,사워 크림,설탕,베이킹 파우더,커피,소다,
13064,전지우유,사워 크림,베이킹 파우더,절인 야채,생수,소다,냅킨,,
13065,생선,브랜디,,,,,,,
13066,딸기,전지우유,냉동 식품,냉동 디저트,롤빵,소다,쇼핑백,,
13067,치킨,돼지고기,전지우유,버터,마가린,절인 야채,와플,,
13068,양파,요거트,아이스크림,,,,,,
13069,소고기,야채,허브,포장 채소,사워 크림,크림 치즈,식초,기름,마가린
13070,야채,전지우유,고양이 사료,야채 주스,캔맥주,소주,와플,,
13072,전지우유,치즈,소주,,,,,,
13073,감귤,버터,디저트,치즈,식빵,절인 야채,,,
13074,소시지,감귤,전지우유,우유,치즈,냉동 야채,차,생수,야채 주스
13076,우유,고양이 사료,커피,병맥주,백포도주,포도주,쇼핑백,,
13078,고양이 사료,소다,,,,,,,
13079,전지우유,치즈,마요네즈,마가린,머스타드,고양이 사료,커피,생수,
13082,치즈,차,,,,,,,
13084,열대과일,버터우유,치즈,설탕,야채 주스,병맥주,초콜릿,양초,
13085,소고기,생선,요거트,패스트리,소다,초콜릿,,,
13086,사워 크림,계란,생수,소다,,,,,
13087,열대과일,과일,버터우유,요거트,사워 크림,우유,마가린,설탕,
13088,우유,캔맥주,,,,,,,
13091,과일,전지우유,버터우유,요거트,크림 치즈,파스타,야채 주스,,
13092,과일,치즈,,,,,,,
13096,식빵,병맥주,,,,,,,
13100,디저트,요거트,식빵,패스트리,소다,케이크,전구,,
13101,시리얼,초콜릿,화초,,,,,,
13104,소시지,크림 치즈,계란,소다,,,,,
13105,우유,크림 치즈,치즈,롤빵,,,,,
13106,음료수,초콜릿,,,,,,,
13108,생수,소다,,,,,,,
13109,소고기,치킨,딸기,요거트,사워 크림,크림 치즈,마요네즈,식빵,
13110,생수,병맥주,,,,,,,
13111,돼지고기,과일,,,,,,,
13112,열대과일,과일,소다,백포도주,,,,,
13113,감귤,과일,야채,버터,우유,냉동 야채,패스트리,마가린,
13114,롤빵,소다,캔맥주,,,,,,
13116,식빵,생수,,,,,,,
13119,돼지고기,감귤,과일,야채,디저트,버터우유,치즈,치즈,
13120,요거트,치즈,롤빵,소다,음료수,초콜릿,냅킨,,
13124,감귤,허브,,,,,,,
13126,소시지,계란,패스트리,생수,신문,,,,
13128,소시지,햄,소고기,버터,우유,마요네즈,베이킹 파우더,생수,야채 주스
13129,소고기,초콜릿,,,,,,,
13131,마요네즈,식빵,소다,,,,,,
13132,야채 주스,껌,,,,,,,
13133,과일,계란,마가린,병맥주,신문,,,,
13134,치킨,병맥주,캔맥주,포도주,초콜릿,신문,화초,,
13135,전지우유,디저트,소다,병맥주,,,,,
13136,햄,야채,디저트,식빵,파스타,마가린,생수,야채 주스,
13140,감귤,열대과일,요거트,우유,계란,머스타드,생선 통조림,,
13141,열대과일,디저트,요거트,계란,기름,야채 주스,,,
13142,소고기,감귤,야채,생수,소다,야채 주스,화초,,
13144,치킨,버터,우유,치즈,병맥주,간식,와플,껌,
13145,소시지,롤빵,음료수,야채 주스,,,,,
13147,소고기,식빵,신문,,,,,,
13148,전지우유,롤빵,초콜릿,사탕,,,,,
13149,소고기,야채,전지우유,버터,요거트,소다,연마제,신문,
13150,햄,소고기,딸기,전지우유,버터,요거트,치즈,치즈,
13151,소시지,소고기,냉동 야채,롤빵,,,,,
13153,햄,요거트,계란,신문,,,,,
13154,돼지고기,롤빵,생선 통조림,초콜릿,,,,,
13156,치킨,생수,소주,,,,,,
13158,요거트,농축 우유,쇼핑백,,,,,,
13159,열대과일,전지우유,마가린,설탕,,,,,
13160,치킨,야채,롤빵,마가린,생수,,,,
13162,전지우유,와플,,,,,,,
13163,냉동 야채,계란,패스트리,,,,,,
13166,소고기,신문,,,,,,,
13167,과일,캔맥주,백포도주,,,,,,
13168,햄,감귤,열대과일,과일,허브,전지우유,요거트,치즈,
13169,소고기,전지우유,마가린,간식,,,,,
13170,생수,병맥주,와플,,,,,,
13171,햄,열대과일,음료수,치즈,와플,초콜릿,초콜릿,,
13172,요거트,냉동 야채,냅킨,신문,화초,,,,
13173,생선,식초,,,,,,,
13174,전지우유,계란,,,,,,,
13175,야채,우유,롤빵,식빵,패스트리,생수,,,
13179,소시지,포장 채소,전지우유,식빵,생수,신문,,,
13180,치킨,소고기,야채,식빵,마가린,고양이 사료,생수,소다,
13182,돼지고기,야채,치즈,초콜릿,냅킨,쇼핑백,,,
13185,야채,우유,소다,,,,,,
13186,치킨,소고기,야채,전지우유,크림 치즈,신문,,,
13190,소시지,햄,포도,우유,냉동 식품,냉동 감자,롤빵,와플,
13193,전지우유,요거트,아이스크림,밀가루,마가린,베이킹 파우더,,,
13196,소시지,전지우유,우유,롤빵,설탕,캔맥주,쇼핑백,,
13198,전지우유,패스트리,,,,,,,
13199,소고기,감귤,과일,야채,패스트리,밀가루,캔맥주,와인,
13202,치킨,간식,,,,,,,
13204,열대과일,딸기,버터,우유,치즈,계란,롤빵,,
13206,커피,소다,,,,,,,
13207,소고기,전지우유,사워 크림,롤빵,마가린,소다,쇼핑백,,
13208,감귤,치즈,롤빵,패스트리,,,,,
13209,감귤,열대과일,야채,전지우유,사워 크림,치즈,냉동 야채,수프,
13210,간식,그릇,,,,,,,
13211,소고기,야채,,,,,,,
13214,열대과일,사워 크림,음료수,치즈,크림 치즈,밀가루,소다,,
13217,전지우유,베이킹 파우더,소다,,,,,,
13220,햄,사워 크림,야채 통조림,커피,생수,와인,,,
13221,과일,딸기,전지우유,요거트,계란,롤빵,패스트리,마가린,
13223,야채,전지우유,요거트,사워 크림,롤빵,베이킹 파우더,소주,,
13224,소시지,소고기,롤빵,캔맥주,팝콘,과자,와플,쇼핑백,
13225,절인 야채,생선 통조림,소다,병맥주,껌,양초,,,
13227,소고기,냉동 식품,병맥주,,,,,,
13228,딸기,버터우유,요거트,소다,냅킨,,,,
13232,버터우유,롤빵,,,,,,,
13235,생수,병맥주,,,,,,,
13236,돼지고기,야채,쇼핑백,,,,,,
13239,요거트,음료수,야채 주스,세정제,청소기,,,,
13241,돼지고기,전지우유,치즈,,,,,,
13242,열대과일,딸기,전지우유,요거트,사워 크림,냉동 야채,커피,생수,
13244,햄,전지우유,버터,요거트,밀가루,기름,향신료,,
13246,전지우유,패스트리,,,,,,,
13247,생선,캔맥주,와플,,,,,,
13249,돼지고기,요거트,식빵,병맥주,냅킨,쇼핑백,,,
13250,우유,생수,초콜릿,,,,,,
13256,전지우유,버터,요거트,사워 크림,롤빵,,,,
13257,전지우유,요거트,소다,캔맥주,,,,,
13258,과일,야채,버터,우유,롤빵,커피,소다,병맥주,와인
13259,냉동 식품,소다,,,,,,,
13261,과일,양파,전지우유,버터,치즈,계란,식빵,마가린,
13262,롤빵,쌀,생선 통조림,코코아,병맥주,와인,와플,초콜릿,
13263,소시지,햄,전지우유,크림 치즈,치즈,냉동 감자,패스트리,,
13264,커피,소다,초콜릿,,,,,,
13267,허브,생수,냅킨,,,,,,
13268,소고기,디저트,우유,쌀,냅킨,양초,,,
13269,과일,야채,디저트,계란,마가린,시리얼,소다,양초,
13270,감귤,치즈,계란,패스트리,기름,베이킹 파우더,절인 야채,강아지 사료,커피
13271,소시지,소고기,치킨,과일,전지우유,디저트,사워 크림,치즈,계란
13275,냉동 감자,커피,간식,초콜릿,쇼핑백,,,,
13279,햄,냉동 감자,식빵,패스트리,고양이 사료,생수,소다,사탕,
13281,소다,초콜릿,신문,,,,,,
13282,전지우유,우유,계란,신문,,,,,
13284,음료수,캔맥주,쇼핑백,,,,,,
13285,야채,전지우유,그릇,,,,,,
13288,병맥주,초콜릿,,,,,,,
13289,전지우유,패스트리,밀가루,소금,식초,,,,
13290,과일,딸기,,,,,,,
13292,소고기,햄,감귤,열대과일,허브,냉동 식품,쇼핑백,,
13293,생수,소다,그릇,,,,,,
13294,패스트리,시럽,,,,,,,
13295,소시지,전지우유,요거트,치즈,롤빵,커피,소다,캔맥주,
13296,돼지고기,과일,버터,쌀,마가린,소다,와플,쇼핑백,
13301,과일,전지우유,계란,마가린,소다,초콜릿,냅킨,,
13303,전지우유,패스트리,식초,,,,,,
13306,열대과일,포도,양파,요거트,계란,기름,절인 야채,,
13307,계란,음료수,,,,,,,
13308,소고기,야채,전지우유,요거트,사워 크림,계란,쇼핑백,,
13309,소고기,사워 크림,커피,껌,그릇,,,,
13310,돼지고기,야채,크림 치즈,생선,밀가루,설탕,쇼핑백,,
13311,롤빵,병맥주,,,,,,,
13319,열대과일,과일,전지우유,아이스크림,패스트리,와인,,,
13324,감귤,열대과일,과일,요거트,패스트리,마가린,고양이 사료,생수,
13326,식빵,생수,소다,캔맥주,,,,,
13330,치킨,열대과일,과일,전지우유,사워 크림,냉동 야채,커피,,
13331,열대과일,롤빵,식빵,병맥주,화초,,,,
13332,전지우유,절인 야채,생수,야채 주스,사탕,,,,
13335,소시지,소고기,감귤,양파,전지우유,디저트,냉동 디저트,,
13336,소시지,소다,,,,,,,
13337,과일,롤빵,생수,소다,초콜릿,,,,
13338,음료수,야채 주스,쇼핑백,,,,,,
13339,소시지,치즈,롤빵,소다,간식,,,,
13340,열대과일,전지우유,아이스크림,,,,,,
13341,패스트리,설탕,커피,소주,,,,,
13342,커피,냅킨,,,,,,,
13343,햄,소고기,전지우유,디저트,버터우유,사워 크림,치즈,롤빵,소다
13345,소시지,돼지고기,열대과일,요거트,병맥주,와인,그릇,,
13346,치킨,야채 주스,병맥주,쇼핑백,,,,,
13348,생수,캔맥주,,,,,,,
13352,딸기,야채,포장 채소,사워 크림,우유,커피,,,
13353,디저트,야채 주스,과자,,,,,,
13355,돼지고기,포장 채소,전지우유,식빵,소주,초콜릿,,,
13357,생수,음료수,소주,껌,,,,,
13358,열대과일,사워 크림,식빵,,,,,,
13359,과일,식빵,커피,소다,야채 주스,병맥주,포도주,,
13360,열대과일,우유,패스트리,초콜릿,냅킨,쇼핑백,,,
13361,병맥주,소주,,,,,,,
13363,치즈,소다,,,,,,,
13365,캔맥주,백포도주,,,,,,,
13366,돼지고기,생수,소주,백포도주,,,,,
13367,음료수,냉동 야채,커피,소다,야채 주스,,,,
13368,소시지,소고기,열대과일,양파,냉동 야채,계란,식빵,설탕,
13369,열대과일,요거트,사워 크림,,,,,,
13371,소다,간식,사탕,,,,,,
13374,우유,패스트리,와플,,,,,,
13375,소시지,과일,전지우유,치즈,냉동 야채,냉동 식품,냅킨,쇼핑백,
13376,위스키,껌,,,,,,,
13377,음료수,병맥주,백포도주,,,,,,
13379,소다,야채 주스,,,,,,,
13380,마가린,음료수,,,,,,,
13381,요거트,치즈,계란,식빵,고양이 사료,커피,생수,,
13383,커피,생수,간식,,,,,,
13384,소시지,돼지고기,롤빵,절인 야채,쇼핑백,,,,
13385,패스트리,초콜릿,양초,,,,,,
13386,치즈,케첩,,,,,,,
13387,롤빵,화초,,,,,,,
13388,치킨,사워 크림,아이스크림,냉동 감자,소다,사탕,쇼핑백,,
13389,딸기,소다,초콜릿,,,,,,
13391,전지우유,요거트,,,,,,,
13392,과일,딸기,전지우유,요거트,치즈,냉동 야채,팝콘,,
13394,소다,야채 주스,와플,,,,,,
13395,요거트,아이스크림,소다,사탕,,,,,
13396,돼지고기,야채,디저트,농축 우유,치즈,치즈,냉동 야채,아이스크림,
13400,소고기,병맥주,케이크,,,,,,
13401,롤빵,절인 야채,커피,생수,와인,,,,
13404,전지우유,생수,,,,,,,
13405,돼지고기,전지우유,디저트,냉동 야채,생수,청소기,,,
13407,생수,야채 주스,,,,,,,
13409,감귤,패스트리,,,,,,,
13410,소고기,야채,전지우유,,,,,,
13411,소시지,열대과일,딸기,전지우유,버터,롤빵,식초,설탕,
13412,딸기,롤빵,패스트리,소다,쇼핑백,,,,
13413,캔맥주,쇼핑백,,,,,,,
13414,치킨,감귤,롤빵,생수,,,,,
13415,전지우유,디저트,요거트,사워 크림,치즈,주방 수건,,,
13416,롤빵,기름,,,,,,,
13418,감귤,버터,롤빵,,,,,,
13420,소고기,생선 통조림,,,,,,,
13421,요거트,식빵,마가린,냅킨,,,,,
13422,소고기,전지우유,치즈,계란,,,,,
13424,롤빵,와인,,,,,,,
13425,캔맥주,와인,,,,,,,
13427,와플,초콜릿,,,,,,,
13428,열대과일,피부관리용품,,,,,,,
13429,전지우유,사워 크림,야채 주스,캔맥주,간식,와플,,,
13430,병맥주,쇼핑백,,,,,,,
13431,소다,캔맥주,,,,,,,
13432,소고기,롤빵,소다,,,,,,
13436,소다,초콜릿,,,,,,,
13437,과일,전지우유,버터,크림 치즈,계란,쇼핑백,,,
13438,롤빵,식빵,,,,,,,
13439,양파,마요네즈,롤빵,머스타드,야채 주스,,,,
13440,전지우유,야채 주스,,,,,,,
13441,패스트리,초콜릿,,,,,,,
13442,햄,치킨,감귤,열대과일,요거트,사워 크림,계란,,
13445,병맥주,초콜릿,,,,,,,
13446,디저트,냉동 식품,냉동 디저트,식빵,소다,초콜릿,,
13448,치킨,돼지고기,냉동 야채,냉동 식품,롤빵,소다,,,
13449,전지우유,크림 치즈,식빵,음료수,쇼핑백,,,,
13451,돼지고기,버터우유,요거트,파스타,소다,와플,사진 필름,,
13454,감귤,전지우유,요거트,치즈,식빵,마가린,강아지 사료,쇼핑백,
13455,소다,병맥주,소주,와인,,,,,
13459,설탕,와플,청소기,주방 수건,쇼핑백,,,,
13461,신문,사진 필름,,,,,,,
13463,요거트,사워 크림,냉동 야채,소금,파스타,베이킹 파우더,소다,음료수,야채 주스
13465,치킨,식빵,생수,신문,,,,,
13466,전지우유,버터우유,요거트,크림 치즈,계란,롤빵,식빵,소다,
13467,야채 주스,케이크,,,,,,,
13470,소시지,열대과일,전지우유,롤빵,소다,,,,
13474,우유,브랜디,소주,,,,,,
13475,감귤,열대과일,허브,전지우유,사워 크림,생수,,,
13476,소시지,전지우유,농축 우유,생선 통조림,소다,그릇,,,
13477,농축 우유,소다,,,,,,,
13478,냉동 식품,소다,,,,,,,
13480,소고기,딸기,디저트,생수,,,,,
13481,과일,식빵,음료수,껌,,,,,
13483,캔맥주,쇼핑백,,,,,,,
13484,마요네즈,쌀,캔맥주,,,,,,
13485,소시지,버터우유,커피,,,,,,
13486,과일,요거트,냉동 야채,계란,식빵,,,,
13487,전지우유,설탕,,,,,,,
13488,열대과일,냉동 식품,생선,간식,초콜릿,초콜릿,,,
13489,과일,야채 주스,,,,,,,
13490,햄,야채,전지우유,요거트,냉동 식품,계란,식빵,,
13491,과일,전지우유,사워 크림,,,,,,
13492,시리얼,세정제,,,,,,,
13493,소시지,열대과일,견과류,,,,,,
13494,디저트,우유,크림 치즈,계란,식빵,커피,생수,소다,쇼핑백
13495,열대과일,견과류,야채,전지우유,요거트,롤빵,와플,냅킨,신문
13497,캔맥주,신문,,,,,,,
13498,소시지,마가린,신문,,,,,,
13500,과일,딸기,야채,요거트,치즈,치즈,냉동 식품,생선,냉동 디저트
13502,소다,초콜릿,,,,,,,
13503,소고기,감귤,열대과일,야채,절인 야채,,,,
13504,사워 크림,강아지 사료,소다,야채 주스,쇼핑백,,,,
13505,야채,쇼핑백,,,,,,,
13507,소고기,소고기,감귤,과일,캔맥주,껌,쇼핑백,,
13508,열대과일,견과류,전지우유,크림 치즈,계란,롤빵,식빵,밀가루,마가린
13511,요거트,식빵,,,,,,,
13512,식빵,초콜릿,쇼핑백,,,,,,
13513,소시지,백포도주,,,,,,,
13515,과일,냉동 야채,야채 통조림,,,,,,
13519,열대과일,전지우유,,,,,,,
13520,우유,치즈,파스타,인스턴트 식품,소다,쇼핑백,,,
13521,식빵,마가린,,,,,,,
13523,초콜릿,그릇,,,,,,,
13524,소다,초콜릿,,,,,,,
13526,버터,사탕,,,,,,,
13527,돼지고기,전지우유,계란,,,,,,
13528,소시지,치즈,마요네즈,아이스크림,,,,,
13530,열대과일,딸기,롤빵,패스트리,마가린,커피,쇼핑백,,
13531,생수,야채 주스,캔맥주,,,,,,
13532,감귤,전지우유,와플,,,,,,
13533,야채,사워 크림,냉동 야채,계란,롤빵,,,,
13535,롤빵,생수,쇼핑백,,,,,,
13537,강아지 사료,캔맥주,,,,,,,
13538,식빵,신문,,,,,,,
13540,딸기,버터우유,요거트,패스트리,욕실 청소용품,,,,
13541,소시지,전지우유,패스트리,간식,주방 수건,,,,
13544,야채,전지우유,,,,,,,
13545,롤빵,커피,간식,,,,,,
13546,전지우유,냉동 야채,커피,,,,,,
13547,감귤,야채,전지우유,커피,,,,,
13548,열대과일,포도,전지우유,패스트리,강아지 사료,소다,와플,청소기,
13549,치킨,열대과일,식빵,절인 야채,소다,캔맥주,,,
13551,전지우유,사워 크림,잼,소다,쇼핑백,,,,
13552,버터,식빵,병맥주,백포도주,쇼핑백,,,,
13554,병맥주,소주,와인,쇼핑백,,,,,
13556,돼지고기,과일,양파,전지우유,디저트,요거트,위스키,,
13557,전지우유,요거트,초콜릿,사탕,신문,,,,
13558,소시지,치킨,돼지고기,소고기,감귤,열대과일,전지우유,치즈,냉동 식품
13560,야채,허브,전지우유,롤빵,소다,쇼핑백,,,
13562,전지우유,냉동 감자,,,,,,,
13563,초콜릿,사탕,,,,,,,
13564,소시지,요거트,,,,,,,
13566,전지우유,패스트리,,,,,,,
13568,전지우유,지퍼백,간식,,,,,,
13569,소다,캔맥주,,,,,,,
13572,과일,아이스크림,병맥주,,,,,,
13573,우유,감미료,생수,,,,,,
13575,열대과일,아이스크림,냉동 디저트,사탕,,,,,
13576,돼지고기,열대과일,양파,허브,전지우유,버터,냉동 야채,롤빵,잼
13577,우유,소스,야채 주스,쇼핑백,,,,,
13579,생수,캔맥주,,,,,,,
13583,소시지,포도,치즈,크림 치즈,아이스크림,간식,와플,껌,냅킨
13584,패스트리,캔맥주,,,,,,,
13585,냉동 식품,아이스크림,,,,,,,
13586,열대과일,야채,전지우유,냉동 야채,계란,식빵,캔맥주,,
13588,열대과일,과일,우유,설탕,고양이 사료,커피,초콜릿,,
13590,햄,햄,열대과일,전지우유,버터,냉동 식품,패스트리,,
13591,소시지,열대과일,과일,야채,사워 크림,패스트리,고양이 사료,병맥주,
13593,전지우유,버터,사워 크림,치즈,크림 치즈,향신료,,,
13594,버터,냉동 야채,식빵,,,,,,
13596,햄,전지우유,디저트,치즈,계란,식빵,절인 야채,커피,
13598,소시지,백포도주,쇼핑백,,,,,,
13600,소시지,음료수,소다,,,,,,
13601,돼지고기,전지우유,패스트리,쇼핑백,,,,,
13603,인스턴트 식품,야채 통조림,간식,,,,,,
13604,햄,열대과일,과일,야채,계란,냅킨,신문,,
13606,냉동 야채,마가린,청소기,,,,,,
13607,버터,기름,마가린,초콜릿,사탕,,,,
13608,딸기,요거트,패스트리,쇼핑백,,,,,
13610,열대과일,요거트,농축 우유,식빵,소다,병맥주,,,
13611,소고기,과일,야채,전지우유,요거트,밀가루,강아지 사료,캔맥주,
13614,감귤,전지우유,,,,,,,
13615,전지우유,롤빵,냅킨,,,,,,
13619,소시지,크림 치즈,마요네즈,롤빵,마가린,소다,,,
13623,소다,병맥주,,,,,,,
13624,감귤,요거트,야채 주스,냅킨,,,,,
13625,냉동 야채,계란,롤빵,야채 통조림,소다,,쇼핑백,,
13626,소시지,요거트,백포도주,와인,쇼핑백,,,,
13627,소고기,크림 치즈,소다,사진 필름,,,,,
13629,롤빵,간식,,,,,,,
13630,냉동 야채,생선,롤빵,절인 야채,,,,,
13631,전지우유,버터우유,치즈,,,,,,
13632,야채,전지우유,롤빵,패스트리,생수,소다,와플,케이크,
13633,고양이 사료,생수,소다,백포도주,간식,냅킨,주방 수건,,
13635,기름,야채 주스,그릇,,,,,,
13637,열대과일,요거트,커피,신문,,,,,
13638,소다,초콜릿,,,,,,,
13641,소시지,과일,전지우유,요거트,치즈,크림 치즈,패스트리,소다,쇼핑백
13642,소시지,열대과일,전지우유,병맥주,,,,,
13643,소시지,야채,롤빵,소다,,,,,
13645,소시지,치즈,롤빵,식빵,,,,,
13647,패스트리,캔맥주,양초,,,,,,
13648,생선,소주,,,,,,,
13653,생수,소다,간식,,,,,,
13656,소고기,돼지고기,야채,요거트,크림 치즈,롤빵,식빵,식초,
13657,요거트,감미료,,,,,,,
13658,롤빵,소다,,,,,,,
13659,소다,캔맥주,,,,,,,
13661,냉동 식품,롤빵,식빵,,,,,,
13662,롤빵,생수,피부관리용품,,,,,,
13664,롤빵,식빵,,,,,,,
13666,전지우유,요거트,롤빵,식빵,커피,소다,야채 주스,병맥주,
13667,커피,소다,,,,,,,
13669,햄,치킨,감귤,열대과일,딸기,야채,전지우유,요거트,
13671,요거트,우유,롤빵,식빵,,,,,
13672,감귤,과일,전지우유,농축 우유,크림 치즈,계란,야채 주스,,
13673,소시지,야채,식빵,,,,,,
13675,식빵,생수,캔맥주,,,,,,
13676,돼지고기,포도,딸기,사워 크림,냉동 디저트,계란,롤빵,패스트리,
13677,생선,롤빵,패스트리,,,,,,
13678,허브,사워 크림,와인,쇼핑백,,,,,
13679,포도,야채,사워 크림,고양이 사료,껌,욕실 청소용품,냅킨,,
13680,소시지,치즈,절인 야채,,,,,,
13685,전지우유,사워 크림,패스트리,생수,,,,,
13687,열대과일,포도,전지우유,식빵,패스트리,야채 주스,화초,,
13689,햄,감귤,버터우유,요거트,크림 치즈,롤빵,강아지 사료,여성용 위생용품,냅킨
13691,치킨,열대과일,과일,요거트,패스트리,병맥주,와인,,
13692,열대과일,과일,전지우유,롤빵,패스트리,야채 주스,간식,세정제,
13693,감귤,전지우유,버터,요거트,치즈,,,,
13694,열대과일,전지우유,요거트,음료수,식빵,신문,,,
13695,소고기,감귤,열대과일,야채,아이스크림,소다,캔맥주,와인,
13696,생선,신문,,,,,,,
13697,병맥주,소주,와인,,,,,,
13698,생수,음료수,,,,,,,
13701,디저트,요거트,식빵,쇼핑백,,,,,
13702,감귤,열대과일,소금,음료수,야채 주스,냅킨,,,
13703,감귤,냉동 야채,계란,식빵,소다,초콜릿,,,
13704,돼지고기,우유,생수,소다,,,,,
13706,열대과일,전지우유,아이스크림,와인,초콜릿,쇼핑백,,,
13708,과일,양파,롤빵,인스턴트 식품,차,생수,간식,,
13709,야채,롤빵,패스트리,,,,,,
13711,과일,롤빵,소다,와플,초콜릿,냅킨,,,
13713,음료수,야채 주스,,,,,,,
13715,아이스크림,기름,병맥주,,,,,,
13716,전지우유,디저트,요거트,크림 치즈,고양이 사료,,,,
13717,치킨,야채,요거트,,,,,,
13718,포도,딸기,치즈,패스트리,음료수,간식,세정제,,
13720,열대과일,야채,냉동 디저트,마가린,,,,,
13721,커피,병맥주,,,,,,,
13724,요거트,간식,냅킨,,,,,,
13725,야채,디저트,사워 크림,계란,패스트리,초콜릿,,,
13726,치킨,소고기,요거트,롤빵,신문,,,,
13727,전지우유,생선,패스트리,,,,,,
13728,소시지,열대과일,소다,간식,쇼핑백,,,,
13730,소시지,열대과일,전지우유,버터우유,요거트,식빵,소고기,소다,야채 주스
13731,우유,롤빵,팝콘,과자,초콜릿,,,,
13735,과일,전지우유,소다,,,,,,
13736,생선,감귤,,,,,,,
13737,캔맥주,신문,,,,,,,
13740,돼지고기,야채,사워 크림,계란,와인,간식,,,
13744,전지우유,버터,요거트,롤빵,,,,,
13747,아이스크림,신문,,,,,,,
13748,감귤,냉동 디저트,계란,롤빵,패스트리,,,,
