항목1,항목2,항목3,항목4,항목5,항목6,항목7,항목8,항목9
열대과일,전지우유,,,,,,,
치킨,설탕,사진 필름,,,,,,
치킨,생수,껌,,,,,,
소시지,햄,과일,전지우유,버터우유,요거트,치즈,치즈,롤빵
치즈,식빵,,,,,,,
패스트리,머스타드,병맥주,,,,,,
열대과일,롤빵,패스트리,,,,,,
냉동 식품,롤빵,병맥주,,,,,,
돼지고기,설탕,신문,,,,,,
패스트리,사탕,냅킨,,,,,,
계란,롤빵,,,,,,,
딸기,야채,전지우유,생선,계란,롤빵,,,
패스트리,소다,,,,,,,
소시지,요거트,롤빵,소다,,,,,
디저트,롤빵,설탕,생수,,,,,
과일,전지우유,계란,,,,,,
소고기,양파,초콜릿,냅킨,쇼핑백,,,,
야채,전지우유,롤빵,초콜릿,,,,,
야채,요거트,패스트리,,,,,,
롤빵,소다,,,,,,,
치킨,과일,전지우유,패스트리,커피,,,,
버터우유,생선 통조림,,,,,,,
버터우유,치즈,롤빵,,,,,,
양파,치즈,,,,,,,
치킨,전지우유,요거트,냉동 야채,커피,병맥주,와인,,
전지우유,디저트,쇼핑백,,,,,,
감귤,과일,전지우유,사워 크림,생수,병맥주,초콜릿,쇼핑백,
열대과일,전지우유,고양이 사료,팝콘,,,,,
감귤,버터,식빵,베이킹 파우더,생수,소다,,,
감귤,롤빵,패스트리,소다,화초,쇼핑백,,,
치킨,양파,전지우유,생선,식빵,소다,백포도주,,
설탕,생수,백포도주,,,,,,
돼지고기,열대과일,전지우유,냉동 식품,계란,마가린,절인 야채,소다,
롤빵,소다,와플,껌,,,,,
전지우유,냉동 야채,롤빵,패스트리,주방 수건,신문,,,
롤빵,식빵,야채 주스,신문,,,,,
마요네즈,롤빵,,,,,,,
돼지고기,냉동 야채,패스트리,음료수,,,,,
감귤,전지우유,밀가루,,,,,,
소다,껌,신문,사진 필름,,,,,
병맥주,소주,그릇,,,,,,
롤빵,캔맥주,,,,,,,
열대과일,포도,우유,절인 야채,잼,커피,간식,,
소시지,감귤,딸기,치즈,롤빵,생수,,,
소시지,버터우유,롤빵,생수,소다,캔맥주,쇼핑백,,
전지우유,롤빵,,,,,,,
야채,허브,전지우유,버터우유,크림 치즈,와플,냅킨,신문,
소시지,롤빵,브랜디,,,,,,
야채,전지우유,버터,머스타드,생수,,,,
열대과일,사탕,,,,,,,
소고기,전지우유,요거트,소다,남성 화장품,,,,
전지우유,야채 주스,,,,,,,
패스트리,신문,,,,,,,
캔맥주,간식,,,,,,,
농축 우유,커피,,,,,,,
햄,감귤,열대과일,전지우유,요거트,사워 크림,소다,,
돼지고기,야채,양파,마가린,설탕,향신료,,,
패스트리,소다,,,,,,,
감귤,과일,야채,양파,허브,전지우유,버터,치즈,
소고기,식빵,쇼핑백,,,,,,
소다,야채 주스,,,,,,,
요거트,크림 치즈,롤빵,초콜릿,,,,,
사워 크림,계란,마가린,,,,,,
소시지,요거트,생수,소다,캔맥주,쇼핑백,,,
야채,사진 필름,,,,,,,
패스트리,소다,,,,,,,
롤빵,커피,와인,껌,,,,,
소시지,요거트,롤빵,패스트리,강아지 사료,소다,,,
요거트,롤빵,,,,,,,
햄,돼지고기,전지우유,냉동 야채,롤빵,소주,,,
병맥주,신문,,,,,,,
치킨,감귤,열대과일,전지우유,사워 크림,롤빵,패스트리,밀가루,
치즈,신문,쇼핑백,,,,,,
과일,병맥주,,,,,,,
돼지고기,소다,,,,,,,
소고기,야채,전지우유,디저트,요거트,롤빵,마가린,잼,
롤빵,패스트리,,,,,,,
소시지,햄,소고기,감귤,허브,밀가루,마가린,인스턴트 식품,생수
롤빵,소다,,,,,,,
전지우유,패스트리,소다,,,,,,
소고기,열대과일,야채,전지우유,,,,,
햄,전지우유,계란,차,생수,병맥주,,,
디저트,음료수,아이스크림,소다,,,,,
롤빵,생수,병맥주,,,,,,
소시지,음료수,야채 주스,캔맥주,간식,쇼핑백,,,
감귤,소다,음료수,캔맥주,초콜릿,초콜릿,사탕,쇼핑백,
전지우유,냉동 야채,,,,,,,
전지우유,마가린,,,,,,,
소시지,요거트,크림,,,,,,
야채,전지우유,기름,머스타드,야채 주스,와플,그릇,쇼핑백,
돼지고기,열대과일,커피,쇼핑백,,,,,
디저트,요거트,롤빵,소고기,생수,소다,초콜릿,쇼핑백,
감귤,야채,사워 크림,치즈,롤빵,신문,,,
감귤,열대과일,과일,포도,딸기,야채,음료수,인스턴트 식품,
롤빵,과일 통조림,,,,,,,
햄,농축 우유,계란,간식,,,,,
음료수,와플,,,,,,,
전지우유,식빵,패스트리,,,,,,
전지우유,냉동 디저트,마가린,과자,,,,,
요거트,음료수,병맥주,그릇,,,,,
사워 크림,농축 우유,계란,밀가루,기름,설탕,,,
치킨,소고기,과일,딸기,전지우유,사워 크림,냉동 과일,냉동 식품,
소시지,롤빵,,,,,,,
과일,전지우유,사워 크림,커피,,,,,
치킨,우유,냉동 야채,아이스크림,절인 야채,병맥주,신문,쇼핑백,
소시지,열대과일,버터,치즈,계란,롤빵,식빵,냅킨,
치킨,돼지고기,버터,양초,,,,,
돼지고기,요거트,음료수,냉동 야채,냉동 식품,롤빵,병맥주,초콜릿,
햄,롤빵,소다,쇼핑백,,,,,
감귤,야채,계란,마가린,그릇,,,,
롤빵,패스트리,파스타,소다,야채 주스,초콜릿,,,
열대과일,견과류,전지우유,사워 크림,와플,신문,,,
전지우유,사워 크림,농축 우유,롤빵,쇼핑백,,,,
식빵,신문,,,,,,,
돼지고기,열대과일,야채,사워 크림,우유,냉동 야채,기름,생수,
패스트리,설탕,머스타드,껌,쇼핑백,,,,
롤빵,소다,,,,,,,
사진 필름,쇼핑백,,,,,,,
전지우유,버터,냉동 야채,생수,병맥주,세정제,화초,쇼핑백,
소시지,치즈,크림 치즈,사탕,쇼핑백,,,,
치킨,전지우유,냉동 야채,식빵,설탕,강아지 사료,,,
아이스크림,껌,,,,,,,
돼지고기,열대과일,야채,허브,전지우유,버터,계란,롤빵,베이킹 파우더
감귤,과일,전지우유,버터,요거트,소금,,,
냉동 식품,패스트리,파스타,,,,,,
햄,소고기,치킨,열대과일,딸기,치즈,치즈,,
소다,음료수,포도주,껌,초콜릿,쇼핑백,,,
냉동 식품,소다,쇼핑백,,,,,,
소시지,양파,,,,,,,
캔맥주,남성 화장품,,,,,,,
열대과일,양파,치즈,커피,캔맥주,소주,와인,전구,
패스트리,소다,,,,,,,
소시지,햄,디저트,,,,,,
캔맥주,신문,,,,,,,
고양이 사료,와플,,,,,,,
소시지,소고기,돼지고기,야채,치즈,마가린,고양이 사료,커피,
생수,소다,,,,,,,
소다,초콜릿,,,,,,,
패스트리,소다,,,,,,,
식빵,생수,,,,,,,
과일,전지우유,롤빵,절인 야채,와플,,,,
햄,사워 크림,음료수,계란,야채 주스,,,,
버터,냅킨,,,,,,,
전지우유,쇼핑백,,,,,,,
롤빵,식빵,,,,,,,
식빵,생수,소다,야채 주스,병맥주,신문,사진 필름,,
소고기,야채,마가린,간식,와플,초콜릿,주방 수건,신문,
디저트,치즈,롤빵,,,,,,
소시지,롤빵,소다,초콜릿,,,,,
전지우유,생선 통조림,신문,,,,,,
소시지,음료수,계란,패스트리,간식,,,,
감귤,열대과일,냉동 식품,냉동 디저트,롤빵,음료수,,,
소시지,병맥주,소주,와인,,,,,
전지우유,신문,,,,,,,
과일,전지우유,패스트리,와플,케이크,쇼핑백,,,
감귤,전지우유,,,,,,,
초콜릿,냅킨,,,,,,,
햄,열대과일,과일,포도,딸기,디저트,요거트,,
롤빵,식빵,와플,,,,,,
과일,지퍼백,간식,케이크,,,,,
소시지,야채,전지우유,롤빵,식빵,마가린,소다,케이크,
야채,전지우유,롤빵,,,,,,
돼지고기,식빵,소금,소주,쇼핑백,,,,
전지우유,요거트,롤빵,와플,,,,,
열대과일,계란,신문,,,,,,
치킨,감귤,야채,음료수,아이스크림,쌀,인스턴트 식품,,
병맥주,소주,와인,,,,,,
사워 크림,사탕,,,,,,,
소고기,야채,백포도주,쇼핑백,,,,,
소고기,감귤,야채,전지우유,디저트,요거트,와플,세정제,
생선,롤빵,화초,,,,,,
전지우유,치즈,사탕,헤어 스프레이,,,,,
전지우유,디저트,요거트,치즈,롤빵,소다,,,
냉동 식품,병맥주,,,,,,,
과일,요거트,,,,,,,
요거트,냉동 야채,,,,,,,
전지우유,냉동 식품,파스타,사탕,,,,,
햄,냉동 식품,롤빵,생선 통조림,커피,커피,,,
아이스크림,과일 통조림,캔맥주,쇼핑백,,,,,
돼지고기,냉동 감자,롤빵,마가린,커피,여성용 위생용품,,,
열대과일,야채,버터,디저트,치즈,냉동 야채,아이스크림,냉동 디저트,
전지우유,패스트리,설탕,소다,,,,,
전지우유,시리얼,,,,,,,
생수,소다,,,,,,,
소시지,전지우유,롤빵,,,,,,
전지우유,냅킨,,,,,,,
돼지고기,열대과일,식빵,소다,병맥주,,,,
디저트,냉동 감자,초콜릿,,,,,,
양파,치즈,음료수,,,,,,
음료수,캔맥주,,,,,,,
식빵,캔맥주,,,,,,,
돼지고기,소고기,사워 크림,치즈,쇼핑백,,,,
딸기,소금,유기농 제품,고양이 사료,소다,병맥주,여성용 위생용품,,
야채,전지우유,치즈,사탕,,,,,
과일,냉동 감자,소다,,,,,,
생수,음료수,병맥주,,,,,,
마가린,커피,커피,소다,캔맥주,,,,
소다,쇼핑백,,,,,,,
야채,양파,전지우유,요거트,생선,와플,,,
야채,양파,사워 크림,절인 야채,,,,,
돼지고기,전지우유,,,,,,,
야채 주스,간식,,,,,,,
요거트,음료수,,,,,,,
크림 치즈,롤빵,사탕,쇼핑백,,,,,
소다,병맥주,소주,와인,,,,,
전지우유,음료수,,,,,,,
요거트,치즈,설탕,병맥주,,,,,
소고기,햄,열대과일,야채,양파,전지우유,버터,요거트,
버터우유,패스트리,,,,,,,
냉동 감자,롤빵,기름,생수,캔맥주,냅킨,,,
마가린,커피,캔맥주,,,,,,
음료수,간식,,,,,,,
소시지,우유,,,,,,,
버터,요거트,롤빵,세정제,쇼핑백,,,,
전지우유,생수,소다,야채 주스,간식,신문,,,
버터,아이스크림,마가린,소다,,,,,
소시지,전지우유,계란,롤빵,야채 주스,전구,,,
야채,전지우유,냉동 야채,백포도주,,,,,
치킨,소다,소주,백포도주,쇼핑백,,,,
치즈,치즈,시리얼,절인 야채,초콜릿,,,,
과일,전지우유,디저트,버터우유,롤빵,시리얼,,,
전지우유,치즈,식빵,소다,신문,,,,
요거트,냉동 야채,,,,,,,
야채,전지우유,롤빵,,,,,,
우유,생수,소다,,,,,,
전지우유,디저트,버터우유,,,,,,
냉동 야채,병맥주,,,,,,,
야채,전지우유,버터,디저트,냉동 식품,생선,쌀,생수,
소시지,전지우유,버터,고양이 사료,간식,와플,초콜릿,,
전지우유,롤빵,간식,초콜릿,신문,,,,
소시지,소고기,전지우유,롤빵,병맥주,,,,
돼지고기,소고기,포장 채소,패스트리,,,,,
간식,여성용 위생용품,,,,,,,
소다,피부관리용품,,,,,,,
열대과일,전지우유,요거트,롤빵,베이킹 파우더,초콜릿,신문,,
치킨,감귤,요거트,계란,롤빵,향신료,생수,와플,
감귤,열대과일,아이스크림,,,,,,
감귤,열대과일,전지우유,버터,사워 크림,계란,설탕,간식,
감귤,열대과일,식빵,냅킨,,,,,
소다,병맥주,,,,,,,
생수,소다,와플,,,,,,
치킨,야채,양파,냉동 야채,케이크,,,,
딸기,야채,허브,전지우유,크림 치즈,시리얼,,,
돼지고기,소고기,냉동 야채,냉동 식품,마가린,냅킨,,,
열대과일,야채,전지우유,롤빵,생수,냅킨,그릇,,
치즈,껌,,,,,,,
돼지고기,야채,양파,생수,소다,,,,
감귤,열대과일,야채,전지우유,요거트,치즈,치즈,치즈,
병맥주,백포도주,,,,,,,
버터우유,롤빵,기름,생수,야채 주스,그릇,,,
감귤,열대과일,디저트,농축 우유,마가린,,,,
감귤,야채,전지우유,사워 크림,치즈,냉동 야채,식빵,밀가루,
전지우유,크림 치즈,간식,사탕,,,,,
소다,야채 주스,케이크,사탕,양초,,,,
열대과일,전지우유,버터우유,요거트,사워 크림,크림 치즈,롤빵,,
야채,양파,냉동 과일,캔맥주,,,,,
전지우유,요거트,롤빵,신문,,,,,
야채,요거트,롤빵,밀가루,,,,,
야채,전지우유,,,,,,,
열대과일,과일,냉동 야채,아이스크림,식빵,패스트리,밀가루,절인 야채,
버터,디저트,크림 치즈,캔맥주,사탕,쇼핑백,,,
파스타,소다,과자,케이크,,,,,
디저트,사탕,연마제,그릇,양초,,,,
요거트,우유,식빵,생수,신문,쇼핑백,,,
전지우유,냉동 야채,커피,,,,,,
돼지고기,야채,전지우유,버터,사워 크림,치즈,계란,롤빵,
소시지,햄,포도,생수,음료수,브랜디,쇼핑백,,
열대과일,냉동 식품,롤빵,병맥주,신문,,,,
과일,포도,전지우유,요거트,치즈,식빵,쌀,절인 야채,
소시지,소고기,감귤,열대과일,견과류,야채,전지우유,마요네즈,
감귤,전지우유,치즈,쌀,마가린,설탕,수프,생수,
치킨,돼지고기,냉동 야채,소다,,,,,
감귤,열대과일,전지우유,버터,요거트,사워 크림,치즈,치즈,
밀가루,설탕,고양이 사료,음료수,와플,,,,
열대과일,과일,전지우유,생선,패스트리,생선 통조림,,,
치킨,우유,크림 치즈,마가린,커피,간식,와플,그릇,
치킨,전지우유,계란,기름,마가린,설탕,커피,병맥주,
소시지,소고기,전지우유,패스트리,,,,,
소고기,마가린,소다,,,,,,
전지우유,냉동 식품,초콜릿,,,,,,
소시지,야채,양파,허브,우유,치즈,크림 치즈,냉동 야채,
치킨,열대과일,과일,사워 크림,설탕,베이킹 파우더,커피,소다,
전지우유,사워 크림,베이킹 파우더,절인 야채,생수,소다,냅킨,,
생선,브랜디,,,,,,,
딸기,전지우유,냉동 식품,냉동 디저트,롤빵,소다,쇼핑백,,
치킨,돼지고기,전지우유,버터,마가린,절인 야채,와플,,
양파,요거트,아이스크림,,,,,,
소고기,야채,허브,포장 채소,사워 크림,크림 치즈,식초,기름,마가린
야채,전지우유,고양이 사료,야채 주스,캔맥주,소주,와플,,
전지우유,치즈,소주,,,,,,
감귤,버터,디저트,치즈,식빵,절인 야채,,,
소시지,감귤,전지우유,우유,치즈,냉동 야채,차,생수,야채 주스
우유,고양이 사료,커피,병맥주,백포도주,포도주,쇼핑백,,
고양이 사료,소다,,,,,,,
전지우유,치즈,마요네즈,마가린,머스타드,고양이 사료,커피,생수,
치즈,차,,,,,,,
열대과일,버터우유,치즈,설탕,야채 주스,병맥주,초콜릿,양초,
소고기,생선,요거트,패스트리,소다,초콜릿,,,
사워 크림,계란,생수,소다,,,,,
열대과일,과일,버터우유,요거트,사워 크림,우유,마가린,설탕,
우유,캔맥주,,,,,,,
과일,전지우유,버터우유,요거트,크림 치즈,파스타,야채 주스,,
과일,치즈,,,,,,,
식빵,병맥주,,,,,,,
디저트,요거트,식빵,패스트리,소다,케이크,전구,,
시리얼,초콜릿,화초,,,,,,
소시지,크림 치즈,계란,소다,,,,,
우유,크림 치즈,치즈,롤빵,,,,,
음료수,초콜릿,,,,,,,
생수,소다,,,,,,,
소고기,치킨,딸기,요거트,사워 크림,크림 치즈,마요네즈,식빵,
생수,병맥주,,,,,,,
돼지고기,과일,,,,,,,
열대과일,과일,소다,백포도주,,,,,
감귤,과일,야채,버터,우유,냉동 야채,패스트리,마가린,
롤빵,소다,캔맥주,,,,,,
식빵,생수,,,,,,,
돼지고기,감귤,과일,야채,디저트,버터우유,치즈,치즈,
요거트,치즈,롤빵,소다,음료수,초콜릿,냅킨,,
감귤,허브,,,,,,,
소시지,계란,패스트리,생수,신문,,,,
소시지,햄,소고기,버터,우유,마요네즈,베이킹 파우더,생수,야채 주스
소고기,초콜릿,,,,,,,
마요네즈,식빵,소다,,,,,,
야채 주스,껌,,,,,,,
과일,계란,마가린,병맥주,신문,,,,
치킨,병맥주,캔맥주,포도주,초콜릿,신문,화초,,
전지우유,디저트,소다,병맥주,,,,,
햄,야채,디저트,식빵,파스타,마가린,생수,야채 주스,
감귤,열대과일,요거트,우유,계란,머스타드,생선 통조림,,
열대과일,디저트,요거트,계란,기름,야채 주스,,,
소고기,감귤,야채,생수,소다,야채 주스,화초,,
치킨,버터,우유,치즈,병맥주,간식,와플,껌,
소시지,롤빵,음료수,야채 주스,,,,,
소고기,식빵,신문,,,,,,
전지우유,롤빵,초콜릿,사탕,,,,,
소고기,야채,전지우유,버터,요거트,소다,연마제,신문,
햄,소고기,딸기,전지우유,버터,요거트,치즈,치즈,
소시지,소고기,냉동 야채,롤빵,,,,,
햄,요거트,계란,신문,,,,,
돼지고기,롤빵,생선 통조림,초콜릿,,,,,
치킨,생수,소주,,,,,,
요거트,농축 우유,쇼핑백,,,,,,
열대과일,전지우유,마가린,설탕,,,,,
치킨,야채,롤빵,마가린,생수,,,,
전지우유,와플,,,,,,,
냉동 야채,계란,패스트리,,,,,,
소고기,신문,,,,,,,
과일,캔맥주,백포도주,,,,,,
햄,감귤,열대과일,과일,허브,전지우유,요거트,치즈,
소고기,전지우유,마가린,간식,,,,,
생수,병맥주,와플,,,,,,
햄,열대과일,음료수,치즈,와플,초콜릿,초콜릿,,
요거트,냉동 야채,냅킨,신문,화초,,,,
생선,식초,,,,,,,
전지우유,계란,,,,,,,
야채,우유,롤빵,식빵,패스트리,생수,,,
소시지,포장 채소,전지우유,식빵,생수,신문,,,
치킨,소고기,야채,식빵,마가린,고양이 사료,생수,소다,
돼지고기,야채,치즈,초콜릿,냅킨,쇼핑백,,,
야채,우유,소다,,,,,,
치킨,소고기,야채,전지우유,크림 치즈,신문,,,
소시지,햄,포도,우유,냉동 식품,냉동 감자,롤빵,와플,
전지우유,요거트,아이스크림,밀가루,마가린,베이킹 파우더,,,
소시지,전지우유,우유,롤빵,설탕,캔맥주,쇼핑백,,
전지우유,패스트리,,,,,,,
소고기,감귤,과일,야채,패스트리,밀가루,캔맥주,와인,
치킨,간식,,,,,,,
열대과일,딸기,버터,우유,치즈,계란,롤빵,,
커피,소다,,,,,,,
소고기,전지우유,사워 크림,롤빵,마가린,소다,쇼핑백,,
감귤,치즈,롤빵,패스트리,,,,,
감귤,열대과일,야채,전지우유,사워 크림,치즈,냉동 야채,수프,
간식,그릇,,,,,,,
소고기,야채,,,,,,,
열대과일,사워 크림,음료수,치즈,크림 치즈,밀가루,소다,,
전지우유,베이킹 파우더,소다,,,,,,
햄,사워 크림,야채 통조림,커피,생수,와인,,,
과일,딸기,전지우유,요거트,계란,롤빵,패스트리,마가린,
야채,전지우유,요거트,사워 크림,롤빵,베이킹 파우더,소주,,
소시지,소고기,롤빵,캔맥주,팝콘,과자,와플,쇼핑백,
절인 야채,생선 통조림,소다,병맥주,껌,양초,,,
소고기,냉동 식품,병맥주,,,,,,
딸기,버터우유,요거트,소다,냅킨,,,,
버터우유,롤빵,,,,,,,
생수,병맥주,,,,,,,
돼지고기,야채,쇼핑백,,,,,,
요거트,음료수,야채 주스,세정제,청소기,,,,
돼지고기,전지우유,치즈,,,,,,
열대과일,딸기,전지우유,요거트,사워 크림,냉동 야채,커피,생수,
햄,전지우유,버터,요거트,밀가루,기름,향신료,,
전지우유,패스트리,,,,,,,
생선,캔맥주,와플,,,,,,
돼지고기,요거트,식빵,병맥주,냅킨,쇼핑백,,,
우유,생수,초콜릿,,,,,,
전지우유,버터,요거트,사워 크림,롤빵,,,,
전지우유,요거트,소다,캔맥주,,,,,
과일,야채,버터,우유,롤빵,커피,소다,병맥주,와인
냉동 식품,소다,,,,,,,
과일,양파,전지우유,버터,치즈,계란,식빵,마가린,
롤빵,쌀,생선 통조림,코코아,병맥주,와인,와플,초콜릿,
소시지,햄,전지우유,크림 치즈,치즈,냉동 감자,패스트리,,
커피,소다,초콜릿,,,,,,
허브,생수,냅킨,,,,,,
소고기,디저트,우유,쌀,냅킨,양초,,,
과일,야채,디저트,계란,마가린,시리얼,소다,양초,
감귤,치즈,계란,패스트리,기름,베이킹 파우더,절인 야채,강아지 사료,커피
소시지,소고기,치킨,과일,전지우유,디저트,사워 크림,치즈,계란
냉동 감자,커피,간식,초콜릿,쇼핑백,,,,
햄,냉동 감자,식빵,패스트리,고양이 사료,생수,소다,사탕,
소다,초콜릿,신문,,,,,,
전지우유,우유,계란,신문,,,,,
음료수,캔맥주,쇼핑백,,,,,,
야채,전지우유,그릇,,,,,,
병맥주,초콜릿,,,,,,,
전지우유,패스트리,밀가루,소금,식초,,,,
과일,딸기,,,,,,,
소고기,햄,감귤,열대과일,허브,냉동 식품,쇼핑백,,
생수,소다,그릇,,,,,,
패스트리,시럽,,,,,,,
소시지,전지우유,요거트,치즈,롤빵,커피,소다,캔맥주,
돼지고기,과일,버터,쌀,마가린,소다,와플,쇼핑백,
과일,전지우유,계란,마가린,소다,초콜릿,냅킨,,
전지우유,패스트리,식초,,,,,,
열대과일,포도,양파,요거트,계란,기름,절인 야채,,
계란,음료수,,,,,,,
소고기,야채,전지우유,요거트,사워 크림,계란,쇼핑백,,
소고기,사워 크림,커피,껌,그릇,,,,
돼지고기,야채,크림 치즈,생선,밀가루,설탕,쇼핑백,,
롤빵,병맥주,,,,,,,
열대과일,과일,전지우유,아이스크림,패스트리,와인,,,
감귤,열대과일,과일,요거트,패스트리,마가린,고양이 사료,생수,
식빵,생수,소다,캔맥주,,,,,
치킨,열대과일,과일,전지우유,사워 크림,냉동 야채,커피,,
열대과일,롤빵,식빵,병맥주,화초,,,,
전지우유,절인 야채,생수,야채 주스,사탕,,,,
소시지,소고기,감귤,양파,전지우유,디저트,냉동 디저트,,
소시지,소다,,,,,,,
과일,롤빵,생수,소다,초콜릿,,,,
음료수,야채 주스,쇼핑백,,,,,,
소시지,치즈,롤빵,소다,간식,,,,
열대과일,전지우유,아이스크림,,,,,,
패스트리,설탕,커피,소주,,,,,
커피,냅킨,,,,,,,
햄,소고기,전지우유,디저트,버터우유,사워 크림,치즈,롤빵,소다
소시지,돼지고기,열대과일,요거트,병맥주,와인,그릇,,
치킨,야채 주스,병맥주,쇼핑백,,,,,
생수,캔맥주,,,,,,,
딸기,야채,포장 채소,사워 크림,우유,커피,,,
디저트,야채 주스,과자,,,,,,
돼지고기,포장 채소,전지우유,식빵,소주,초콜릿,,,
생수,음료수,소주,껌,,,,,
열대과일,사워 크림,식빵,,,,,,
과일,식빵,커피,소다,야채 주스,병맥주,포도주,,
열대과일,우유,패스트리,초콜릿,냅킨,쇼핑백,,,
병맥주,소주,,,,,,,
치즈,소다,,,,,,,
캔맥주,백포도주,,,,,,,
돼지고기,생수,소주,백포도주,,,,,
음료수,냉동 야채,커피,소다,야채 주스,,,,
소시지,소고기,열대과일,양파,냉동 야채,계란,식빵,설탕,
열대과일,요거트,사워 크림,,,,,,
소다,간식,사탕,,,,,,
우유,패스트리,와플,,,,,,
소시지,과일,전지우유,치즈,냉동 야채,냉동 식품,냅킨,쇼핑백,
위스키,껌,,,,,,,
음료수,병맥주,백포도주,,,,,,
소다,야채 주스,,,,,,,
마가린,음료수,,,,,,,
요거트,치즈,계란,식빵,고양이 사료,커피,생수,,
커피,생수,간식,,,,,,
소시지,돼지고기,롤빵,절인 야채,쇼핑백,,,,
패스트리,초콜릿,양초,,,,,,
치즈,케첩,,,,,,,
롤빵,화초,,,,,,,
치킨,사워 크림,아이스크림,냉동 감자,소다,사탕,쇼핑백,,
딸기,소다,초콜릿,,,,,,
전지우유,요거트,,,,,,,
과일,딸기,전지우유,요거트,치즈,냉동 야채,팝콘,,
소다,야채 주스,와플,,,,,,
요거트,아이스크림,소다,사탕,,,,,
돼지고기,야채,디저트,농축 우유,치즈,치즈,냉동 야채,아이스크림,
소고기,병맥주,케이크,,,,,,
롤빵,절인 야채,커피,생수,와인,,,,
전지우유,생수,,,,,,,
돼지고기,전지우유,디저트,냉동 야채,생수,청소기,,,
생수,야채 주스,,,,,,,
감귤,패스트리,,,,,,,
소고기,야채,전지우유,,,,,,
소시지,열대과일,딸기,전지우유,버터,롤빵,식초,설탕,
딸기,롤빵,패스트리,소다,쇼핑백,,,,
캔맥주,쇼핑백,,,,,,,
치킨,감귤,롤빵,생수,,,,,
전지우유,디저트,요거트,사워 크림,치즈,주방 수건,,,
롤빵,기름,,,,,,,
감귤,버터,롤빵,,,,,,
소고기,생선 통조림,,,,,,,
요거트,식빵,마가린,냅킨,,,,,
소고기,전지우유,치즈,계란,,,,,
롤빵,와인,,,,,,,
캔맥주,와인,,,,,,,
와플,초콜릿,,,,,,,
열대과일,피부관리용품,,,,,,,
전지우유,사워 크림,야채 주스,캔맥주,간식,와플,,,
병맥주,쇼핑백,,,,,,,
소다,캔맥주,,,,,,,
소고기,롤빵,소다,,,,,,
소다,초콜릿,,,,,,,
과일,전지우유,버터,크림 치즈,계란,쇼핑백,,,
롤빵,식빵,,,,,,,
양파,마요네즈,롤빵,머스타드,야채 주스,,,,
전지우유,야채 주스,,,,,,,
패스트리,초콜릿,,,,,,,
햄,치킨,감귤,열대과일,요거트,사워 크림,계란,,
병맥주,초콜릿,,,,,,,
디저트,냉동 식품,냉동 디저트,식빵,소다,초콜릿,,,
치킨,돼지고기,냉동 야채,냉동 식품,롤빵,소다,,,
전지우유,크림 치즈,식빵,음료수,쇼핑백,,,,
돼지고기,버터우유,요거트,파스타,소다,와플,사진 필름,,
감귤,전지우유,요거트,치즈,식빵,마가린,강아지 사료,쇼핑백,
소다,병맥주,소주,와인,,,,,
설탕,와플,청소기,주방 수건,쇼핑백,,,,
신문,사진 필름,,,,,,,
요거트,사워 크림,냉동 야채,소금,파스타,베이킹 파우더,소다,음료수,야채 주스
치킨,식빵,생수,신문,,,,,
전지우유,버터우유,요거트,크림 치즈,계란,롤빵,식빵,소다,
야채 주스,케이크,,,,,,,
소시지,열대과일,전지우유,롤빵,소다,,,,
우유,브랜디,소주,,,,,,
감귤,열대과일,허브,전지우유,사워 크림,생수,,,
소시지,전지우유,농축 우유,생선 통조림,소다,그릇,,,
농축 우유,소다,,,,,,,
냉동 식품,소다,,,,,,,
소고기,딸기,디저트,생수,,,,,
과일,식빵,음료수,껌,,,,,
캔맥주,쇼핑백,,,,,,,
마요네즈,쌀,캔맥주,,,,,,
소시지,버터우유,커피,,,,,,
과일,요거트,냉동 야채,계란,식빵,,,,
전지우유,설탕,,,,,,,
열대과일,냉동 식품,생선,간식,초콜릿,초콜릿,,,
과일,야채 주스,,,,,,,
햄,야채,전지우유,요거트,냉동 식품,계란,식빵,,
과일,전지우유,사워 크림,,,,,,
시리얼,세정제,,,,,,,
소시지,열대과일,견과류,,,,,,
디저트,우유,크림 치즈,계란,식빵,커피,생수,소다,쇼핑백
열대과일,견과류,야채,전지우유,요거트,롤빵,와플,냅킨,신문
캔맥주,신문,,,,,,,
소시지,마가린,신문,,,,,,
과일,딸기,야채,요거트,치즈,치즈,냉동 식품,생선,냉동 디저트
소다,초콜릿,,,,,,,
소고기,감귤,열대과일,야채,절인 야채,,,,
사워 크림,강아지 사료,소다,야채 주스,쇼핑백,,,,
야채,쇼핑백,,,,,,,
소고기,소고기,감귤,과일,캔맥주,껌,쇼핑백,,
열대과일,견과류,전지우유,크림 치즈,계란,롤빵,식빵,밀가루,마가린
요거트,식빵,,,,,,,
식빵,초콜릿,쇼핑백,,,,,,
소시지,백포도주,,,,,,,
과일,냉동 야채,야채 통조림,,,,,,
열대과일,전지우유,,,,,,,
우유,치즈,파스타,인스턴트 식품,소다,쇼핑백,,,
식빵,마가린,,,,,,,
초콜릿,그릇,,,,,,,
소다,초콜릿,,,,,,,
버터,사탕,,,,,,,
돼지고기,전지우유,계란,,,,,,
소시지,치즈,마요네즈,아이스크림,,,,,
열대과일,딸기,롤빵,패스트리,마가린,커피,쇼핑백,,
생수,야채 주스,캔맥주,,,,,,
감귤,전지우유,와플,,,,,,
