Record,Pixel_1,Pixel_2,Pixel_3,Pixel_4,Pixel_5,Pixel_6,Pixel_7,Pixel_8,Pixel_9,Pixel_10,Pixel_11,Pixel_12,Pixel_13,Pixel_14,Pixel_15,Pixel_16,Pixel_17,Pixel_18,Pixel_19,Pixel_20,Pixel_21,Pixel_22,Pixel_23,Pixel_24,Pixel_25,Pixel_26,Pixel_27,Pixel_28,Pixel_29,Pixel_30,Pixel_31,Pixel_32,Pixel_33,Pixel_34,Pixel_35,Pixel_36,Pixel_37,Pixel_38,Pixel_39,Pixel_40,Pixel_41,Pixel_42,Pixel_43,Pixel_44,Pixel_45,Pixel_46,Pixel_47,Pixel_48,Pixel_49,Pixel_50,Pixel_51,Pixel_52,Pixel_53,Pixel_54,Pixel_55,Pixel_56,Pixel_57,Pixel_58,Pixel_59,Pixel_60,Pixel_61,Pixel_62,Pixel_63,Pixel_64,Digit
433,0,0,3,8,9,11,14,1,0,0,9,16,16,16,13,0,0,0,16,5,8,0,0,0,0,4,16,16,16,6,0,0,0,2,9,2,9,10,0,0,0,0,0,0,8,8,0,0,0,0,8,12,13,5,0,0,0,0,5,13,10,1,0,0,5
434,0,0,0,5,16,8,0,0,0,0,4,16,16,8,0,0,0,2,15,16,16,8,0,0,0,4,8,12,16,5,0,0,0,0,0,6,16,11,0,0,0,0,0,6,16,12,0,0,0,0,0,6,16,15,1,0,0,0,0,4,15,11,2,0,1
435,0,0,2,15,10,1,0,0,0,2,13,12,14,9,0,0,0,6,16,1,1,14,2,0,0,8,16,0,0,10,5,0,0,8,14,2,0,8,8,0,0,6,14,0,0,8,8,0,0,1,14,12,8,15,6,0,0,0,3,13,16,8,1,0,0
436,0,0,2,15,8,0,0,0,0,0,7,14,15,8,0,0,0,7,15,3,3,15,0,0,0,6,16,1,0,9,8,0,0,4,12,0,0,8,8,0,0,0,12,3,0,12,7,0,0,0,9,13,13,15,1,0,0,0,1,9,12,5,0,0,0
437,0,0,11,15,4,0,0,0,0,5,16,15,15,0,0,0,0,0,14,11,16,2,0,0,0,0,0,4,16,5,0,0,0,0,0,4,16,6,0,0,0,0,0,7,16,10,3,0,0,0,11,16,16,16,16,6,0,0,11,16,10,5,13,6,2
438,0,0,12,15,3,0,0,0,0,6,15,12,14,0,0,0,0,7,5,1,16,2,0,0,0,0,0,0,11,7,0,0,0,0,0,2,15,3,0,0,0,0,0,8,14,1,0,0,0,0,12,16,12,8,5,0,0,0,9,8,13,15,7,0,2
439,0,0,2,12,12,12,9,2,0,0,9,15,12,13,16,5,0,0,12,8,0,8,10,0,0,1,16,3,3,15,2,0,0,1,3,0,12,7,0,0,0,0,0,4,13,0,0,0,0,0,0,13,9,0,0,0,0,0,3,15,3,0,0,0,7
440,0,0,3,9,14,7,0,0,0,3,15,11,8,15,2,0,0,4,16,5,2,16,7,0,0,0,4,15,13,16,7,0,0,0,0,6,16,16,1,0,0,0,2,15,8,16,7,0,0,0,4,16,4,15,7,0,0,0,0,10,15,10,0,0,8
441,0,0,7,13,2,0,0,0,0,11,15,12,13,0,0,0,0,12,7,0,16,4,0,0,0,4,4,0,14,8,0,0,0,0,0,0,14,7,0,0,0,0,0,4,16,3,0,0,0,0,12,16,16,12,9,0,0,0,9,12,8,10,14,0,2
442,0,0,4,15,12,2,0,0,0,2,15,7,11,10,0,0,0,4,16,0,0,15,1,0,0,6,10,0,0,10,8,0,0,8,8,0,0,6,8,0,0,5,12,0,0,11,8,0,0,2,16,7,8,16,2,0,0,0,6,15,16,8,0,0,0
443,0,0,7,10,0,0,0,0,0,0,9,16,0,0,0,0,0,0,6,16,5,0,0,0,0,0,9,16,9,0,0,0,0,0,0,6,14,1,0,0,0,0,0,2,16,4,0,0,0,0,1,4,14,12,4,1,0,0,7,16,16,16,16,5,1
444,0,0,7,15,6,0,0,0,0,4,16,9,14,3,0,0,0,2,14,0,13,6,0,0,0,0,2,0,11,10,0,0,0,0,0,0,13,6,0,0,0,0,0,5,15,7,0,0,0,0,9,16,16,16,15,0,0,0,6,15,7,4,6,1,2
445,0,0,0,11,12,1,0,0,0,0,8,16,9,4,0,0,0,0,3,4,0,0,0,0,0,1,0,2,8,2,0,0,0,5,16,16,16,14,2,0,0,2,16,9,3,13,7,0,0,0,11,14,7,16,9,0,0,0,1,10,14,10,2,0,6
446,0,0,3,10,13,7,0,0,0,1,14,13,15,14,0,0,0,0,15,5,14,9,0,0,0,0,0,10,16,5,0,0,0,0,0,7,14,16,3,0,0,4,5,0,2,16,4,0,0,10,16,10,8,16,3,0,0,0,5,12,14,8,0,0,3
447,0,0,3,14,13,0,0,0,0,2,16,9,16,2,0,0,0,4,12,3,16,0,0,0,0,2,9,15,16,10,1,0,0,0,0,11,8,16,6,0,0,0,6,0,0,12,8,0,0,0,14,10,5,16,7,0,0,0,3,13,16,11,1,0,3
448,0,0,0,10,12,15,16,13,0,0,6,15,6,4,14,9,0,0,10,6,0,3,14,2,0,1,14,1,0,12,6,0,0,0,3,0,5,13,0,0,0,0,0,1,13,3,0,0,0,0,0,6,13,0,0,0,0,0,0,14,6,0,0,0,7
449,0,0,4,13,14,2,0,0,0,0,15,10,11,10,0,0,0,3,15,2,12,6,0,0,0,0,3,8,16,7,0,0,0,0,0,4,9,16,2,0,0,0,10,3,0,13,6,0,0,0,16,5,7,16,3,0,0,0,7,13,13,8,0,0,3
450,0,0,5,14,9,0,0,0,0,1,16,13,16,0,0,0,0,2,13,10,14,0,0,0,0,0,4,16,16,7,0,0,0,0,2,4,5,16,4,0,0,0,0,0,0,14,7,0,0,0,11,8,8,16,4,0,0,0,8,13,15,10,0,0,3
451,0,0,0,5,8,0,0,0,0,0,1,15,10,5,0,0,0,0,9,11,10,10,0,0,0,2,15,2,14,6,0,0,0,8,13,5,14,13,4,0,0,11,16,16,16,14,3,0,0,0,0,3,16,0,0,0,0,0,0,7,10,0,0,0,4
452,0,0,0,12,15,1,0,0,0,0,4,16,13,1,0,0,0,1,14,15,2,0,0,0,0,4,16,15,10,7,0,0,0,7,16,16,12,16,6,0,0,3,16,13,0,16,12,0,0,0,11,16,13,16,12,0,0,0,1,9,13,12,4,0,6
453,0,0,2,15,13,3,0,0,0,0,12,16,9,4,0,0,0,3,16,9,0,0,0,0,0,3,16,14,12,5,0,0,0,8,16,16,16,16,0,0,0,5,16,15,6,16,9,0,0,1,13,14,13,16,3,0,0,0,3,12,14,10,0,0,6
454,0,0,2,12,16,6,0,0,0,0,5,16,12,4,0,0,0,0,15,14,0,0,0,0,0,2,16,14,8,8,0,0,0,4,16,16,13,15,8,0,0,4,16,11,1,12,12,0,0,0,11,16,12,14,15,0,0,0,1,8,12,12,6,0,6
455,0,0,0,4,9,0,0,0,0,0,0,12,11,0,0,0,0,0,4,13,16,4,0,0,0,0,12,6,14,4,0,0,0,4,16,9,15,13,3,0,0,4,12,12,16,14,6,0,0,0,0,0,16,4,0,0,0,0,0,2,16,3,0,0,4
456,0,0,10,16,13,5,0,0,0,7,13,5,14,12,0,0,0,9,10,0,13,14,0,0,0,4,15,13,16,15,3,0,0,0,2,6,3,12,8,0,0,0,0,0,0,12,8,0,0,0,12,6,5,15,4,0,0,0,9,13,16,8,0,0,9
457,0,0,0,2,16,15,3,0,0,0,0,8,16,16,4,0,0,0,9,16,16,14,0,0,0,7,16,16,16,12,0,0,0,0,0,8,16,12,0,0,0,0,0,7,16,12,0,0,0,0,0,4,16,16,7,0,0,0,0,0,13,16,7,0,1
458,0,0,4,12,16,16,11,2,0,0,15,13,8,11,8,1,0,2,15,13,16,8,0,0,0,6,16,13,13,16,2,0,0,7,11,2,2,16,6,0,0,0,0,0,5,15,2,0,0,0,9,6,13,10,0,0,0,0,7,14,13,1,0,0,5
459,0,0,3,14,10,1,0,0,0,2,14,12,15,14,1,0,0,6,13,0,3,14,8,0,0,5,12,0,0,11,8,0,0,4,14,0,0,12,7,0,0,1,14,4,3,16,3,0,0,0,8,12,12,12,0,0,0,0,2,15,10,3,0,0,0
460,0,0,7,14,10,7,0,0,0,5,16,14,16,14,0,0,0,7,11,0,9,14,1,0,0,4,14,7,11,16,5,0,0,0,9,15,15,12,8,0,0,0,0,1,1,8,9,0,0,0,14,11,10,15,9,0,0,0,9,13,13,9,0,0,9
461,0,0,9,13,14,15,13,0,0,0,16,13,12,12,5,0,0,4,16,0,0,0,0,0,0,8,16,16,11,1,0,0,0,1,7,8,16,12,0,0,0,0,0,0,9,13,0,0,0,0,12,8,12,10,0,0,0,0,10,16,13,3,0,0,5
462,0,0,10,13,2,0,0,0,0,0,12,16,10,0,0,0,0,0,7,14,16,0,0,0,0,0,0,2,16,1,0,0,0,0,0,2,16,1,0,0,0,0,4,8,15,0,0,0,0,0,16,16,16,13,11,0,0,0,8,14,8,11,14,1,2
463,0,0,1,7,6,11,1,0,0,0,13,11,15,16,7,0,0,0,13,6,11,16,4,0,0,0,3,15,16,7,0,0,0,0,4,15,14,7,0,0,0,1,14,3,1,13,0,0,0,2,12,2,3,12,0,0,0,0,1,10,8,1,0,0,8
464,0,0,13,14,3,0,0,0,0,4,16,15,11,0,0,0,0,7,12,4,16,0,0,0,0,3,6,4,16,0,0,0,0,0,0,9,12,0,0,0,0,0,1,14,7,0,0,0,0,1,14,16,10,10,2,0,0,0,11,12,14,14,6,0,2
465,0,0,4,15,12,1,0,0,0,0,12,11,13,13,1,0,0,3,12,0,0,14,6,0,0,8,12,0,0,11,8,0,0,8,12,0,0,8,8,0,0,6,13,0,0,11,7,0,0,4,16,7,10,15,2,0,0,0,7,13,12,2,0,0,0
466,0,0,3,16,9,0,0,0,0,4,15,15,16,7,0,0,0,8,16,3,7,12,0,0,0,6,16,3,0,13,3,0,0,8,10,0,0,12,8,0,0,1,15,2,0,9,11,0,0,0,13,14,10,15,12,0,0,0,3,10,16,14,3,0,0
467,0,0,0,5,16,9,0,0,0,0,1,13,16,6,0,0,0,0,13,16,16,4,0,0,0,5,15,16,16,5,0,0,0,0,0,10,16,7,0,0,0,0,0,9,16,8,0,0,0,0,0,9,16,13,0,0,0,0,0,5,14,9,0,0,1
468,0,0,1,11,12,13,14,5,0,0,7,15,11,10,16,6,0,0,10,7,0,2,16,2,0,1,16,1,0,12,8,0,0,2,11,0,4,14,1,0,0,0,0,1,14,4,0,0,0,0,0,8,14,0,0,0,0,0,0,15,7,0,0,0,7
469,0,0,0,9,14,4,0,0,0,0,6,16,12,4,0,0,0,1,16,11,0,0,0,0,0,2,16,7,3,0,0,0,0,4,16,14,16,10,0,0,0,3,16,15,10,16,6,0,0,0,12,16,7,13,9,0,0,0,1,11,16,16,9,0,6
470,0,0,7,13,11,0,0,0,0,6,16,11,16,0,0,0,0,3,8,5,16,0,0,0,0,0,3,15,16,6,0,0,0,0,0,7,8,16,5,0,0,6,8,0,0,11,9,0,0,0,16,6,6,14,6,0,0,0,6,15,16,10,0,0,3
471,0,0,11,11,2,0,0,0,0,3,16,16,8,0,0,0,0,6,12,8,8,0,0,0,0,0,5,6,12,0,0,0,0,0,0,11,9,0,0,0,0,0,0,15,6,3,5,0,0,0,13,16,13,15,9,0,0,1,12,12,12,12,1,0,2
472,0,0,0,6,16,6,0,0,0,0,0,13,16,10,0,0,0,0,9,16,16,6,0,0,0,3,16,16,16,4,0,0,0,5,16,16,16,6,0,0,0,0,0,9,16,10,0,0,0,0,0,8,16,15,0,0,0,0,0,4,13,11,2,0,1
473,0,0,6,15,8,10,12,2,0,0,10,14,10,12,16,1,0,0,9,10,1,13,7,0,0,0,4,4,8,12,1,0,0,0,0,2,15,5,0,0,0,0,0,11,8,0,0,0,0,0,3,16,0,0,0,0,0,0,7,14,0,0,0,0,7
474,0,0,0,0,7,6,0,0,0,0,0,6,15,6,0,0,0,0,1,15,5,14,3,0,0,0,12,8,4,16,0,0,0,5,16,9,10,16,4,0,0,1,11,12,14,14,4,0,0,0,0,0,8,8,0,0,0,0,0,0,11,7,0,0,4
475,0,0,0,9,14,2,0,0,0,0,2,16,12,0,0,0,0,0,10,16,7,0,0,0,0,0,16,16,16,8,0,0,0,4,16,14,8,15,3,0,0,1,15,6,0,11,11,0,0,0,10,15,7,12,16,0,0,0,1,9,15,15,10,0,6
476,0,0,6,15,11,0,0,0,0,6,16,13,16,0,0,0,0,2,7,13,9,0,0,0,0,0,3,16,15,5,0,0,0,0,0,3,11,16,2,0,0,0,0,0,0,16,7,0,0,0,16,11,10,16,7,0,0,0,5,16,15,9,0,0,3
477,0,0,0,0,12,8,0,0,0,0,0,3,16,16,0,0,0,0,1,13,16,11,0,0,0,3,15,16,16,8,0,0,0,0,3,7,16,8,0,0,0,0,0,4,16,8,0,0,0,0,0,4,16,14,0,0,0,0,0,0,14,15,5,0,1
478,0,0,9,10,2,0,0,0,0,8,16,16,10,0,0,0,0,7,7,4,16,2,0,0,0,0,0,8,16,5,0,0,0,0,0,10,16,14,2,0,0,0,0,0,2,14,7,0,0,0,11,10,4,11,12,0,0,0,8,14,16,15,6,0,3
479,0,0,4,10,13,3,0,0,0,4,16,13,16,8,0,0,0,5,15,0,14,11,0,0,0,3,15,15,16,16,1,0,0,0,5,9,8,14,8,0,0,0,0,0,0,12,8,0,0,0,9,15,10,14,7,0,0,0,4,12,14,11,2,0,9
480,0,0,0,7,16,16,7,0,0,0,0,14,16,16,4,0,0,2,13,16,16,12,0,0,0,7,16,16,16,12,0,0,0,0,0,10,16,8,0,0,0,0,0,11,16,13,0,0,0,0,0,10,16,16,2,0,0,0,0,9,16,12,2,0,1
481,0,0,4,6,11,14,6,0,0,4,16,16,12,16,7,0,0,6,16,2,1,16,3,0,0,5,16,0,5,14,0,0,0,0,2,0,11,10,0,0,0,0,0,2,15,4,0,0,0,0,0,8,16,0,0,0,0,0,0,7,12,0,0,0,7
482,0,0,0,6,14,8,0,0,0,0,8,16,12,8,0,0,0,3,16,14,3,0,0,0,0,6,16,16,16,11,1,0,0,8,16,13,4,14,5,0,0,2,16,9,0,8,12,0,0,0,10,15,6,13,9,0,0,0,0,8,14,16,9,0,6
483,0,0,4,6,11,5,0,0,0,2,14,7,2,15,0,0,0,4,8,0,0,10,2,0,0,0,14,8,8,13,1,0,0,0,15,10,16,7,0,0,0,1,10,0,1,10,4,0,0,0,12,2,0,6,8,0,0,0,6,10,11,7,1,0,8
484,0,0,0,5,9,0,0,0,0,0,2,14,14,2,0,0,0,0,6,14,11,12,0,0,0,3,15,3,11,10,0,0,0,8,11,0,13,10,2,0,0,10,16,16,16,15,3,0,0,0,4,10,15,0,0,0,0,0,0,8,9,0,0,0,4
485,0,2,13,16,4,0,0,0,0,12,12,12,15,0,0,0,0,5,2,7,14,0,0,0,0,0,3,15,15,7,0,0,0,0,4,12,12,16,3,0,0,0,0,0,0,15,7,0,0,3,16,8,9,16,6,0,0,1,11,12,14,9,0,0,3
486,0,0,0,7,16,12,0,0,0,0,7,16,16,12,0,0,0,3,16,16,16,8,0,0,0,7,16,16,16,8,0,0,0,0,0,11,16,12,0,0,0,0,0,7,16,15,0,0,0,0,0,6,16,16,5,0,0,0,0,6,15,15,2,0,1
487,0,0,0,7,6,0,0,0,0,0,1,15,16,7,0,0,0,0,8,13,15,6,0,0,0,3,16,3,12,7,1,0,0,4,14,9,15,16,8,0,0,4,12,12,16,10,2,0,0,0,0,5,16,0,0,0,0,0,0,4,14,0,0,0,4
488,0,0,3,11,6,0,0,0,0,0,10,14,16,2,0,0,0,3,15,1,11,11,0,0,0,4,12,0,2,16,2,0,0,7,12,0,0,12,8,0,0,4,14,0,1,15,8,0,0,2,15,14,15,15,1,0,0,0,5,13,14,5,0,0,0
489,0,2,16,12,12,14,7,0,0,3,16,9,8,8,4,0,0,2,16,10,4,0,0,0,0,4,16,13,16,4,0,0,0,0,3,0,12,10,0,0,0,6,3,0,9,11,0,0,0,11,11,9,16,3,0,0,0,3,12,15,7,0,0,0,5
490,0,0,6,14,10,0,0,0,0,6,16,14,16,0,0,0,0,5,10,11,16,0,0,0,0,0,0,9,16,12,0,0,0,0,0,0,3,16,7,0,0,4,6,0,3,16,8,0,0,5,15,9,16,13,1,0,0,0,9,15,8,0,0,0,3
491,0,0,0,6,14,1,0,0,0,0,1,16,10,0,0,0,0,0,13,14,1,0,0,0,0,2,16,12,10,3,0,0,0,5,16,15,14,16,1,0,0,3,16,12,0,15,8,0,0,0,11,16,9,16,8,0,0,0,0,11,15,11,1,0,6
492,0,0,6,12,11,0,0,0,0,2,16,14,14,11,0,0,0,8,15,1,8,16,0,0,0,3,15,5,11,16,5,0,0,0,11,16,15,14,8,0,0,0,4,2,3,6,12,0,0,2,16,13,10,14,12,0,0,0,8,12,13,13,5,0,9
493,0,0,0,11,16,12,1,0,0,0,5,16,10,16,4,0,0,2,15,10,0,8,1,0,0,5,16,9,1,0,0,0,0,8,16,16,9,0,0,0,0,2,16,10,16,6,0,0,0,0,11,16,16,7,0,0,0,0,1,8,13,0,0,0,6
494,0,0,0,4,14,14,4,0,0,0,1,15,16,16,2,0,0,2,13,16,16,16,0,0,0,8,16,16,16,16,0,0,0,2,7,8,16,16,1,0,0,0,0,4,16,16,0,0,0,0,0,4,16,16,2,0,0,0,0,4,16,15,4,0,1
495,0,0,2,13,16,16,16,12,0,0,9,15,8,9,16,7,0,0,10,10,0,6,14,1,0,1,16,5,1,16,4,0,0,0,4,0,9,13,0,0,0,0,0,4,15,1,0,0,0,0,0,14,10,0,0,0,0,0,3,15,4,0,0,0,7
496,0,1,8,8,11,15,10,0,0,4,16,16,11,12,6,0,0,4,16,4,0,0,0,0,0,1,16,15,8,0,0,0,0,0,4,10,16,6,0,0,0,0,0,0,12,12,0,0,0,6,15,9,13,10,0,0,0,1,13,16,13,4,0,0,5
497,0,0,0,2,16,4,0,0,0,0,0,10,16,6,0,0,0,0,4,16,12,15,0,0,0,2,13,8,9,14,0,0,0,9,16,16,16,16,6,0,0,2,4,5,14,15,0,0,0,0,0,0,15,11,0,0,0,0,0,0,13,8,0,0,4
498,0,0,0,2,14,0,0,0,0,0,0,10,9,0,0,0,0,0,1,15,8,11,0,0,0,0,12,7,12,8,0,0,0,5,16,12,15,14,5,0,0,8,13,9,16,13,3,0,0,0,0,0,16,4,0,0,0,0,0,0,16,6,0,0,4
499,0,0,2,5,5,11,15,5,0,0,12,16,14,13,16,3,0,1,14,9,0,6,11,0,0,0,16,5,1,13,4,0,0,0,1,0,7,11,0,0,0,0,0,2,12,2,0,0,0,0,0,10,10,0,0,0,0,0,0,15,5,0,0,0,7
500,0,1,11,13,2,0,0,0,0,8,15,15,6,0,0,0,0,10,9,6,14,0,0,0,0,3,10,4,10,0,0,0,0,0,0,11,7,0,0,0,0,0,2,15,3,0,0,0,0,2,13,16,13,11,2,0,0,1,12,12,12,15,11,0,2
501,0,0,3,10,14,3,0,0,0,8,16,11,10,13,0,0,0,7,14,0,1,15,2,0,0,2,16,9,16,16,1,0,0,0,12,16,15,15,2,0,0,0,12,10,0,8,8,0,0,0,9,12,4,7,12,0,0,0,2,11,16,16,9,0,8
502,0,1,11,12,1,0,0,0,0,8,16,12,9,0,0,0,0,7,8,7,12,0,0,0,0,1,1,4,14,0,0,0,0,0,0,5,11,0,0,0,0,0,0,11,9,0,0,0,0,1,14,16,16,15,10,0,0,0,13,11,8,12,8,0,2
503,0,0,0,3,15,13,1,0,0,0,2,15,16,16,2,0,0,0,13,10,5,15,0,0,0,0,6,2,11,8,0,0,0,0,0,6,14,2,0,0,0,3,8,16,8,0,0,0,3,16,16,16,16,8,0,0,1,4,4,5,13,6,0,0,2
504,0,0,11,15,15,16,9,0,0,4,16,14,8,9,3,0,0,4,12,0,0,0,0,0,0,6,16,15,3,0,0,0,0,3,11,11,12,0,0,0,0,0,0,2,16,0,0,0,0,2,12,9,16,0,0,0,0,0,11,16,8,0,0,0,5
505,0,0,2,8,8,8,12,2,0,0,12,16,14,14,15,1,0,0,14,9,0,12,6,0,0,0,10,2,8,11,0,0,0,0,0,2,14,3,0,0,0,0,0,9,8,0,0,0,0,0,0,14,4,0,0,0,0,0,3,15,0,0,0,0,7
506,0,0,3,10,14,3,0,0,0,4,16,13,15,11,0,0,0,8,13,1,13,16,2,0,0,6,16,14,14,14,6,0,0,0,5,7,1,11,8,0,0,1,8,1,0,8,8,0,0,2,16,11,8,14,7,0,0,0,5,12,14,9,1,0,9
507,0,0,3,8,11,13,14,0,0,2,13,16,13,13,13,0,0,1,16,0,0,0,0,0,0,3,16,11,10,1,0,0,0,3,16,14,14,10,0,0,0,0,8,3,9,11,0,0,0,0,7,15,14,11,0,0,0,0,2,12,13,2,0,0,5
508,0,0,0,0,13,3,0,0,0,0,0,11,13,4,0,0,0,0,6,14,4,16,1,0,0,2,14,3,6,14,0,0,0,6,16,11,12,12,0,0,0,2,7,14,16,14,0,0,0,0,0,0,12,8,0,0,0,0,0,0,15,3,0,0,4
509,0,0,6,10,9,4,0,0,0,0,14,10,16,16,1,0,0,4,15,1,9,16,0,0,0,3,16,16,16,8,0,0,0,0,12,14,16,5,0,0,0,0,12,1,9,12,0,0,0,0,16,6,14,9,0,0,0,0,8,12,6,1,0,0,8
510,0,0,5,15,15,7,0,0,0,2,16,11,16,16,8,0,0,2,16,5,4,16,8,0,0,1,12,16,16,10,0,0,0,0,7,16,16,5,0,0,0,0,15,9,14,10,0,0,0,0,14,12,16,8,0,0,0,0,5,14,12,1,0,0,8
511,0,0,0,5,11,0,0,0,0,0,0,10,13,0,0,0,0,0,0,16,16,6,0,0,0,0,9,12,16,5,0,0,0,2,16,4,16,7,0,0,0,9,16,14,16,16,3,0,0,3,8,11,16,8,1,0,0,0,0,5,13,0,0,0,4
512,0,0,2,10,16,10,0,0,0,0,14,9,6,16,16,0,0,0,16,6,5,14,11,0,0,0,5,14,14,16,6,0,0,0,0,0,1,16,3,0,0,0,3,1,4,16,3,0,0,2,15,13,11,13,1,0,0,0,3,12,13,4,0,0,9
513,0,0,2,12,14,4,0,0,0,0,15,12,11,13,0,0,0,4,16,4,1,14,6,0,0,4,12,0,0,8,8,0,0,6,9,0,0,5,8,0,0,3,12,1,0,12,8,0,0,0,8,12,9,16,3,0,0,0,0,10,13,3,0,0,0
514,0,0,5,13,13,8,0,0,0,0,16,11,13,16,6,0,0,1,16,5,2,14,9,0,0,0,9,16,16,15,0,0,0,0,10,16,14,14,0,0,0,5,15,4,0,16,6,0,0,6,14,7,6,16,4,0,0,0,7,15,16,10,0,0,8
515,0,0,5,13,15,6,0,0,0,2,16,9,16,13,0,0,0,4,14,0,10,16,2,0,0,4,15,11,15,16,1,0,0,0,7,10,3,13,8,0,0,0,3,0,0,12,5,0,0,0,13,11,4,16,4,0,0,0,7,14,16,11,1,0,9
516,0,0,8,11,8,10,0,0,0,3,15,8,12,16,4,0,0,3,12,0,3,16,2,0,0,0,11,10,15,10,0,0,0,0,4,16,16,6,0,0,0,0,7,9,4,16,0,0,0,0,12,11,5,16,0,0,0,0,3,10,9,3,0,0,8
517,0,0,6,15,13,2,0,0,0,1,15,10,11,14,0,0,0,2,16,3,1,16,4,0,0,4,12,0,1,14,4,0,0,4,10,0,0,15,3,0,0,4,12,0,0,15,3,0,0,1,13,9,11,16,2,0,0,0,4,12,14,5,0,0,0
518,0,0,7,14,2,0,0,0,0,0,2,16,6,0,0,0,0,0,2,15,9,0,0,0,0,0,2,16,12,0,0,0,0,0,2,16,16,5,0,0,0,0,0,3,13,13,0,0,0,0,6,12,14,16,12,5,0,0,5,16,16,16,16,15,1
519,0,0,2,13,11,0,0,0,0,0,11,14,11,9,0,0,0,0,15,7,6,12,0,0,0,0,8,5,9,12,0,0,0,0,0,1,14,7,0,0,0,0,0,7,16,0,0,0,0,0,1,12,12,4,4,1,0,0,1,15,16,16,16,7,2
520,0,0,1,9,15,5,0,0,0,0,14,11,5,11,0,0,0,4,15,1,4,14,0,0,0,0,6,1,13,9,0,0,0,0,0,0,10,13,1,0,0,0,0,0,0,8,10,0,0,0,12,9,4,4,15,0,0,0,1,10,16,15,11,1,3
521,0,0,1,14,3,0,0,0,0,0,8,14,0,3,0,0,0,1,16,4,10,12,0,0,0,7,14,2,15,5,0,0,0,13,14,11,16,16,9,0,0,8,16,16,14,4,0,0,0,0,0,15,9,0,0,0,0,0,2,16,5,0,0,0,4
522,0,0,9,14,16,13,2,0,0,0,13,8,2,6,4,0,0,0,16,2,9,8,0,0,0,3,15,15,11,14,4,0,0,5,16,6,0,12,2,0,0,5,7,0,3,13,0,0,0,0,5,7,13,6,0,0,0,0,10,16,9,0,0,0,5
523,0,0,1,14,15,4,0,0,0,0,9,16,10,5,0,0,0,1,16,10,0,0,0,0,0,3,16,12,5,0,0,0,0,4,16,16,16,8,0,0,0,1,15,7,4,16,4,0,0,0,11,13,4,16,9,0,0,0,1,12,16,16,9,0,6
524,0,0,9,15,16,2,0,0,0,0,13,9,16,4,0,0,0,0,2,6,16,16,12,0,0,0,14,16,14,8,7,0,0,0,3,14,9,0,0,0,0,0,3,16,3,0,0,0,0,0,10,16,0,0,0,0,0,0,12,11,0,0,0,0,7
525,0,0,0,5,15,13,2,0,0,0,0,12,7,11,6,0,0,0,0,9,12,15,1,0,0,0,1,8,16,4,0,0,0,3,15,8,13,0,0,0,0,7,12,0,10,7,0,0,0,0,12,11,10,8,0,0,0,0,0,6,13,10,0,0,8
526,0,0,3,11,15,8,0,0,0,3,14,10,5,15,2,0,0,8,10,0,3,16,4,0,0,8,9,1,10,16,7,0,0,1,15,16,9,9,7,0,0,0,0,0,0,5,8,0,0,0,4,6,5,13,7,0,0,0,3,16,15,8,1,0,9
527,0,0,0,9,14,6,0,0,0,0,10,13,4,13,2,0,0,2,14,0,0,10,6,0,0,4,9,0,0,6,8,0,0,5,8,0,0,8,7,0,0,2,11,1,0,9,5,0,0,0,6,11,4,13,3,0,0,0,1,11,16,12,0,0,0
528,0,0,6,13,0,0,0,0,0,0,8,16,2,0,0,0,0,0,6,16,3,0,0,0,0,0,3,15,6,0,0,0,0,0,0,10,10,0,0,0,0,0,0,3,15,0,0,0,0,0,7,10,14,12,5,1,0,0,6,16,16,16,16,12,1
529,0,0,5,16,14,2,0,0,0,1,13,14,16,8,0,0,0,9,15,3,16,5,0,0,0,10,13,3,16,3,0,0,0,3,3,11,13,0,0,0,0,0,0,13,10,0,0,0,0,0,2,16,16,16,10,0,0,0,6,16,14,12,9,0,2
530,0,0,3,10,15,6,0,0,0,4,16,9,4,16,2,0,0,8,14,0,9,10,0,0,0,1,4,7,16,2,0,0,0,0,0,2,15,7,0,0,0,0,0,0,1,14,1,0,0,0,12,8,1,11,7,0,0,0,6,8,16,15,5,0,3
531,0,0,3,16,4,0,0,0,0,0,12,13,2,5,0,0,0,2,16,6,10,15,1,0,0,9,15,3,16,11,7,0,0,12,16,16,15,11,5,0,0,3,9,16,3,0,0,0,0,0,2,16,3,0,0,0,0,0,6,14,0,0,0,0,4
532,0,0,13,13,13,12,4,0,0,1,16,5,5,9,4,0,0,4,13,0,2,1,0,0,0,5,14,11,16,13,2,0,0,5,15,6,0,9,8,0,0,0,3,0,0,10,8,0,0,3,14,5,7,15,1,0,0,1,9,14,15,4,0,0,5
533,0,0,0,11,16,6,0,0,0,0,10,16,10,0,0,0,0,0,16,3,0,0,0,0,0,5,14,0,3,0,0,0,0,2,16,16,13,12,1,0,0,2,15,3,0,8,7,0,0,0,8,8,0,10,7,0,0,0,1,11,12,15,4,0,6
534,0,0,5,11,16,16,5,0,0,3,15,11,10,16,4,0,0,0,4,0,10,14,0,0,0,0,7,15,16,16,12,0,0,0,9,16,14,4,1,0,0,0,1,14,7,0,0,0,0,0,4,16,4,0,0,0,0,0,8,16,0,0,0,0,7
